r v real_class
0.523 2.141 RIN
2.299 0.293 IN
1.444 1.208 ITL
1.232 0.524 BS
2.137 0.227 IN
1.788 0.331 ITL
0.26 1.233 ITL
2.978 0.194 IN
2.067 0.208 IN
1.205 2.244 ITL
0.652 0.33 CL
2.69 0.349 IN
0.546 1.442 CL
0.288 1.111 RIN
0.753 0.714 ITL
0.58 1.217 CL
0.174 2.107 RIN
2.014 0.379 IN
1.068 1.465 IN
0.547 0.099 IN
1.636 0.545 IN
1.338 0.807 BS
0.44 1.833 RIN
1.842 0.046 IN
1.346 0.297 BS
1.386 0.395 BS
0.424 1.235 RIN
1.855 0.159 IN
0.623 0.078 IN
2.502 0.576 IN
2.397 0.229 IN
0.769 0.084 CL
2.941 0.356 ITL
1.022 1.186 IN
1.581 0.265 BS
0.811 2.077 ITL
2.331 0.27 IN
0.774 0.649 ITL
2.21 0.267 IN
0.284 1.413 RIN
1.744 0.714 ITL
1.187 0.909 IN
1.974 0.027 IN
0.826 1.581 RIN
0.691 0.273 CL
1.771 1.3 IN
0.547 0.683 CL
0.238 0.567 IN
0.915 1.612 ITL
0.734 0.783 RIN
0.561 0.32 CL
2.711 0.159 IN
1.292 0.247 IN
0.837 0.966 IN
1.846 0.165 IN
2.447 0.296 IN
2.405 0.006 IN
1.619 0.214 IN
1.321 0.959 IN
1.507 1.623 ITL
0.678 0.343 CL
1.448 0.234 BS
2.976 1.569 ITL
2.753 0.5 IN
1.006 0.548 IN
2.888 0.602 IN
0.681 0.566 CL
0.62 1.842 CL
1.241 0.563 ITL
2.611 0.105 IN
2.979 2.978 ITL
2.428 0.594 IN
2.68 0.074 ITL
2.881 0.458 ITL
0.494 0.28 RIN
2.105 0.614 IN
1.382 1.708 ITL
0.237 1.668 CL
0.531 0.624 RIN
1.218 0.823 BS
0.456 1.102 BS
2.694 1.192 ITL
0.379 0.35 ITL
0.461 1.313 RIN
1.968 2.667 ITL
2.561 0.309 IN
1.914 1.716 ITL
1.026 0.23 BS
2.669 0.356 IN
1.792 0.527 IN
0.935 0.962 BS
0.915 0.35 BS
1.458 1.883 ITL
1.146 0.349 BS
0.105 1.99 RIN
0.969 1.186 IN
1.136 0.21 BS
0.876 1.218 IN
0.248 0.911 RIN
2.194 0.258 IN
1.393 0.364 BS
1.055 0.65 IN
1.002 0.722 IN
2.859 0.643 ITL
1.361 0.673 BS
2.839 2.699 ITL
1.416 1.223 ITL
1.666 0.092 BS
2.172 1.755 ITL
2.069 0.655 IN
1.328 0.004 CL
0.879 0.614 IN
1.762 0.309 ITL
2.586 0.173 IN
0.802 0.451 RIN
2.232 0.201 IN
1.043 0.035 BS
1.191 0.708 BS
0.72 0.516 BS
1.793 0.273 BS
0.358 1.386 IN
0.539 0.833 RIN
1.619 0.057 BS
0.602 0.71 CL
1.388 0.447 IN
0.694 1.074 IN
0.644 1.265 BS
1.096 0.209 BS
2.694 0.472 IN
0.355 0.942 CL
2.536 0.456 IN
0.872 1.783 ITL
0.285 1.418 CL
1.752 0.283 BS
1.26 0.96 ITL
1.24 0.547 BS
0.383 1.328 IN
0.053 0.512 CL
2.784 1.723 ITL
0.495 0.37 IN
1.409 1.832 ITL
0.796 0.492 RIN
2.027 0.21 IN
1.716 0.136 BS
2.792 0.043 IN
0.398 0.362 CL
1.203 0.408 BS
1.591 0.07 IN
0.896 1.398 ITL
0.399 0.992 ITL
1.935 0.232 BS
0.4 1.161 RIN
0.364 1.247 CL
2.97 0.222 IN
0.408 1.051 CL
2.44 2.195 ITL
2.568 1.576 ITL
0.871 0.165 IN
1.214 0.769 BS
1.613 0.07 IN
1.737 0.61 BS
2.469 0.473 IN
2.552 0.413 IN
1.006 0.918 BS
1.045 0.506 IN
2.294 0.16 IN
2.891 0.239 IN
1.42 0.014 IN
2.847 0.611 ITL
1.4 2.911 ITL
0.201 0.996 BS
2.081 0.84 ITL
2.306 0.362 IN
1.724 1.948 ITL
0.747 0.851 IN
0.804 2.274 ITL
1.588 0.27 BS
2.977 0.452 ITL
2.109 2.763 ITL
2.395 0.473 IN
1.648 0.315 ITL
1.658 0.215 BS
2.363 2.142 ITL
2.681 0.035 IN
2.802 0.358 IN
0.399 0.814 RIN
0.131 0.956 CL
2.413 0.341 IN
1.394 0.401 BS
2.475 0.925 ITL
1.702 0.523 IN
2.772 2.298 ITL
2.125 0.621 IN
1.638 0.772 BS
1.327 1.193 ITL
0.928 0.388 IN
2.26 2.937 ITL
0.6 2.044 ITL
0.702 0.273 IN
1.243 2.955 ITL
0.273 2.021 ITL
2.287 0.11 IN
